name,url,address,local,rating,reviews_count,stars,price,latitude,longitude,distance_to_local,source,date_updated,name_upper,rating_text,region_name,distance_to_shore,count_rooms,count_photo
База отдыха Дача БайкалЭко,https://101hotels.com/main/cities/huzhir/baza_otdiha_dacha_baykaleko.html,"Иркутская обл., Ольхонский р-н, п. Хужир, ул. Лесная, д. 32",Хужир,9.6,1.0,0.0,500.0,53.191616,107.349862,500.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ДАЧА БАЙКАЛЭКО,ВЕЛИКОЛЕПНО,,1500.0,5,26
База отдыха Байкал-Кантри,https://101hotels.com/main/cities/kurma/baza_otdiha_gostevoy_dom_baykal-kantri.html,"Иркутская обл., Ольхонский р-н, д. Курма, ул. Лесная, д. 4",Курма,,0.0,0.0,4600.0,53.180390461369456,106.96,400.0,101Hotels,01.03.2023,БАЗА ОТДЫХА БАЙКАЛ-КАНТРИ,,,28600.0,9,81
База отдыха Данко,https://101hotels.com/main/cities/kurma/baza_otdiha_baza_otdiha_danko.html,"Иркутская обл., Ольхонский р-н, д. Курма",Курма,,0.0,0.0,5000.0,53.16992394489212,106.951,1500.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ДАНКО,,,515.0,12,85
База отдыха Боярский Двор Андреевский,https://101hotels.com/main/cities/sahyurta/boyarskiy_dvor_andreevskiy.html,"Иркутская обл., Ольхонский р-н, д. Куркут",Сахюрта,9.4,15.0,0.0,6850.0,53.02601846591869,106.825,3600.0,101Hotels,01.03.2023,БАЗА ОТДЫХА БОЯРСКИЙ ДВОР АНДРЕЕВСКИЙ,ВЕЛИКОЛЕПНО,,1500.0,25,19
Загородный отель Кумуткан,https://101hotels.com/main/cities/maksimiha/baza_otdiha_kumutkan.html,"Бурятия, Баргузинский р-н, с. Максимиха, ул. Пушкина, д. 1",Максимиха,9.8,2.0,3.0,8000.0,53.26688,108.75057,800.0,101Hotels,01.03.2023,ЗАГОРОДНЫЙ ОТЕЛЬ КУМУТКАН,ВЕЛИКОЛЕПНО,,364.0,23,125
База отдыха Olkhon Inn,https://101hotels.com/main/cities/huzhir/baza_otdiha_olkhon_inn.html,"Иркутская обл., Ольхонский р-н, п. Хужир, ул. Первомайская, д. 1",Хужир,9.1,8.0,0.0,7000.0,53.193769,107.337879,300.0,101Hotels,01.03.2023,БАЗА ОТДЫХА OLKHON INN,ВЕЛИКОЛЕПНО,,100.0,30,11
База отдыха Алтан,https://101hotels.com/main/cities/sarma/baza_otdiha_altan.html,"Сарма, Местность Хужир-Нуга",Сарма,8.7,75.0,0.0,,53.09516,106.80505,2000.0,101Hotels,01.03.2023,БАЗА ОТДЫХА АЛТАН,ОТЛИЧНО,,932.0,31,178
База отдыха Чайка,https://101hotels.com/main/cities/sahyurta/baza_otdiha_chayka.html,"Сахюрта, Залив Куркут",Сахюрта,8.3,3.0,0.0,,53.0273274803364,106.82,4000.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ЧАЙКА,ОТЛИЧНО,,967.0,15,55
База отдыха Горячинск,https://101hotels.com/main/cities/goryachinsk/baza_otdiha_goryachinsk.html,"Бурятия, с. Горячинск, ул. Придорожная, д. 2а",Горячинск,8.5,21.0,0.0,,52.97681671870796,108.296,1000.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ГОРЯЧИНСК,ОТЛИЧНО,,1600.0,10,64
База отдыха Золотой берег,https://101hotels.com/main/cities/sahyurta/zolotoy_bereg_vacation_home.html,"Сахюрта, ул. 65-лет Победы, д. 2а",Сахюрта,8.7,1.0,0.0,,53.02212,106.86952,700.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ЗОЛОТОЙ БЕРЕГ,ОТЛИЧНО,,173.0,5,31
